question,a,b,c,d,correct,explanation
What is the primary focus of Scenario 2: Code Generation with Claude Code,Sending requests to Claude - inspecting stop_reason - executing requested tools and returning results for the next iteration.,Add a programmatic prerequisite that blocks lookup_order and process_refund calls until get_customer has returned a verified customer ID.,They preserve and merge findings while maintaining source attribution.,Accelerating software development through code generation - refactoring - debugging and documentation.,d,Accelerating software development through code generation - refactoring - debugging and documentation.
What does the Multi-Agent Research System scenario involve,Building a system where a coordinator agent delegates tasks to specialized subagents for research.,They are incorrect response options that candidates with incomplete knowledge might choose.,Create rule files in .claude/rules/ with YAML frontmatter specifying glob patterns to conditionally apply conventions based on file paths.,Give the synthesis agent a scoped verify_fact tool for simple lookups - while complex verifications continue delegating to the web search agent through the coordinator.,a,Building a system where a coordinator agent delegates tasks to specialized subagents for research.
What tools does the Developer Productivity scenario utilize,To resolve transient failures before propagating errors to the coordinator.,Subagents do not automatically inherit parent context or share memory between invocations.,Built-in tools like Read - Write - Bash - Grep - Glob.,Schema validation and handling semantic validation errors.,c,Built-in tools like Read - Write - Bash - Grep - Glob.
What is the purpose of integrating Claude Code into CI/CD pipelines,To ensure new team members receive the correct instructions.,It improves precision and reduces false positives.,To provide detailed error context that enables intelligent recovery decisions by the agent.,To run automated code reviews - generate test cases and provide feedback on pull requests.,d,To run automated code reviews - generate test cases and provide feedback on pull requests.
What is the goal of the Structured Data Extraction scenario,To extract information from unstructured documents and validate the output using JSON schemas.,It decides which subagents to invoke based on query complexity.,YAML frontmatter glob patterns for different code areas.,Read - Write - Edit - Bash - Grep - Glob - each with specific purposes and selection criteria.,a,To extract information from unstructured documents and validate the output using JSON schemas.
What type of experience is ideal for candidates of the Claude Certified Architect exam,It communicates tool failures back to the agent.,6+ months of practical experience building with Claude APIs - Agent SDK - Claude Code and MCP.,It prevents temporal differences from being misinterpreted as contradictions.,Parsing natural language signals for loop termination - setting arbitrary iteration caps or checking for assistant text content as a completion indicator.,b,6+ months of practical experience building with Claude APIs - Agent SDK - Claude Code and MCP.
What is the significance of scenario-based questions in the exam,They preserve original source characterizations and methodological context during synthesis.,Direct execution is for simple changes - while plan mode is for complex tasks involving large-scale changes.,They present realistic production contexts that frame a set of questions.,They guide the agent on when to escalate versus resolve autonomously.,c,They present realistic production contexts that frame a set of questions.
What happens to unanswered questions in the Claude Certified Architect exam,They are scored as incorrect.,To provide detailed error context that enables intelligent recovery decisions by the agent.,Direct execution is for simple changes - while plan mode is for complex tasks involving large-scale changes.,They load only when editing matching files - reducing irrelevant context and token usage.,a,They are scored as incorrect.
What is the role of distractors in the exam questions,Give the synthesis agent a scoped verify_fact tool for simple lookups - while complex verifications continue delegating to the web search agent through the coordinator.,They help achieve consistently formatted - actionable output.,They are incorrect response options that candidates with incomplete knowledge might choose.,It runs Claude Code in non-interactive mode to prevent hangs.,c,They are incorrect response options that candidates with incomplete knowledge might choose.
What is the focus of the exam content outline,To manage inter-subagent communication - error handling and information routing.,Delegate to at least two subagents and ensure each subagent receives its research findings directly in its prompt.,Sending requests to Claude - inspecting stop_reason - executing requested tools and returning results for the next iteration.,It includes weightings - content domains and task statements for the exam.,d,It includes weightings - content domains and task statements for the exam.
What is the primary goal of the exam preparation strategies recommended in the guide,To apply conventions to files by type regardless of directory location.,It prompts developers for required parameters when invoking the skill.,They load only when editing matching files - reducing irrelevant context and token usage.,To prepare effectively alongside hands-on experience.,d,To prepare effectively alongside hands-on experience.
