question,a,b,c,d,correct,explanation
What is the correct way to determine when an agentic loop should stop,Check stop_reason: if 'tool_use' continue the loop; if 'end_turn' exit. Never parse Claude's text for completion signals.,User-level (~/.claude/CLAUDE.md - personal not shared) - Project-level (.claude/CLAUDE.md or root CLAUDE.md - version controlled shared with team) - Directory-level (subdirectory CLAUDE.md files for local overrides),Emit multiple Task tool calls in a single coordinator response rather than across separate turns.,They teach Claude what NOT to flag which directly reduces false positives. Without them Claude over-reports acceptable patterns as issues.,a,Check stop_reason: if 'tool_use' continue the loop; if 'end_turn' exit. Never parse Claude's text for completion signals.
What are the three agentic loop anti-patterns,High false-positive categories train developers to dismiss everything reflexively - including accurate findings in other categories. The fix is either razor-sharp criteria with code examples or temporarily disabling the category entirely.,Runs Claude Code in non-interactive (print) mode - processes the prompt - outputs to stdout and exits without waiting for user input. Required for CI/CD pipelines to prevent interactive hangs.,They teach Claude what NOT to flag which directly reduces false positives. Without them Claude over-reports acceptable patterns as issues.,1) Parsing natural language signals for termination 2) Using iteration caps as the primary stop mechanism 3) Checking for assistant text content as a completion indicator,d,1) Parsing natural language signals for termination 2) Using iteration caps as the primary stop mechanism 3) Checking for assistant text content as a completion indicator
How are tool results added to the conversation,Escalate immediately with no investigation - no further attempts. This is a non-negotiable hard rule - it is not conditional on the agent's assessment of case complexity.,.mcp.json is project-level committed to version control and shared with the whole team. ~/.claude.json is user-level personal and used for experimental or personal servers. Both are available simultaneously.,Sentiment does not correlate with case complexity - angry customers may have simple issues. Claude's self-reported confidence is poorly calibrated - high confidence can coexist with wrong answers.,Appended as a user message to the conversation history so Claude can reason about the next action,d,Appended as a user message to the conversation history so Claude can reason about the next action
What is the hub-and-spoke pattern in multi-agent systems,Prompts are probabilistic suggestions. Hooks and programmatic gates provide deterministic guarantees. When errors have financial or compliance consequences use code enforcement not prompt instructions.,A coordinator agent manages all inter-subagent communication. It analyzes requests - decomposes tasks - delegates to subagents - aggregates results and checks for gaps. Subagents never talk to each other directly.,failure_type - what_was_attempted - partial_results - retry_recommended and potential alternative approaches. Generic statuses like 'service unavailable' strip decision-critical context from the coordinator.,Access failure: timeout - 500 error - connection dropped - the query never completed. Coordinator should retry or use fallback. Valid empty result: query succeeded normally but no matching records exist. Coordinator should confidently report no record found.,b,A coordinator agent manages all inter-subagent communication. It analyzes requests - decomposes tasks - delegates to subagents - aggregates results and checks for gaps. Subagents never talk to each other directly.
Do subagents automatically inherit the coordinator's context,Check stop_reason: if 'tool_use' continue the loop; if 'end_turn' exit. Never parse Claude's text for completion signals.,2-4 examples targeting ambiguous cases (not easy ones) showing reasoning for why one action was chosen over alternatives demonstrating exact output format and distinguishing acceptable patterns from genuine issues.,No. Subagents have isolated context. Everything - prior findings - source URLs - query goals - must be passed explicitly in the subagent's prompt.,Restricts which tools are available during skill execution - e.g. limiting to file write operations to prevent destructive actions during a specific skill.,c,No. Subagents have isolated context. Everything - prior findings - source URLs - query goals - must be passed explicitly in the subagent's prompt.
What is the coordinator's gap-checking loop,After synthesis the coordinator evaluates whether coverage is complete. If gaps exist it re-delegates with targeted queries and re-invokes synthesis until coverage is sufficient.,References external files to keep CLAUDE.md modular. Allows each package or directory to import only the relevant standards files rather than loading everything in one monolithic file.,When files have changed extensively since the last session. Prior tool results are stale. Start fresh and inject a structured summary of prior findings rather than resuming with outdated context.,1) Parsing natural language signals for termination 2) Using iteration caps as the primary stop mechanism 3) Checking for assistant text content as a completion indicator,a,After synthesis the coordinator evaluates whether coverage is complete. If gaps exist it re-delegates with targeted queries and re-invokes synthesis until coverage is sufficient.
What mechanism is used to spawn subagents in the Claude Agent SDK,Claude uses tool descriptions as its primary decision-making mechanism for tool selection. Minimal or overlapping descriptions cause misrouting. Claude cannot see your code - only the description.,To prevent the model from fabricating values to satisfy required fields. Nullable fields allow Claude to return null when source documents don't contain the information.,.mcp.json is project-level committed to version control and shared with the whole team. ~/.claude.json is user-level personal and used for experimental or personal servers. Both are available simultaneously.,The Task tool. The coordinator's allowedTools must include 'Task' - otherwise it cannot spawn subagents.,d,The Task tool. The coordinator's allowedTools must include 'Task' - otherwise it cannot spawn subagents.
How do you run subagents in parallel,Action verbs in your system prompt (analyze - search - check) can match tool names and create unintended tool associations overriding well-written descriptions. Audit system prompts for verb-to-tool-name collisions.,Emit multiple Task tool calls in a single coordinator response rather than across separate turns.,Force a specific tool for steps that must run first (e.g. extract_metadata). Then switch to auto for subsequent steps. Never force every step - that's a script not an agent.,Resuming a session after editing files without informing the agent of changes. The agent's context contains old tool results and doesn't know the files changed leading to incorrect analysis.,b,Emit multiple Task tool calls in a single coordinator response rather than across separate turns.
What is the difference between a procedural coordinator prompt and a goal-oriented one,A coordinator agent manages all inter-subagent communication. It analyzes requests - decomposes tasks - delegates to subagents - aggregates results and checks for gaps. Subagents never talk to each other directly.,Restricts which tools are available during skill execution - e.g. limiting to file write operations to prevent destructive actions during a specific skill.,2-4 examples targeting ambiguous cases (not easy ones) showing reasoning for why one action was chosen over alternatives demonstrating exact output format and distinguishing acceptable patterns from genuine issues.,Procedural: lists step-by-step instructions. Goal-oriented: specifies research goals and quality criteria and lets subagents decide how to achieve them.,d,Procedural: lists step-by-step instructions. Goal-oriented: specifies research goals and quality criteria and lets subagents decide how to achieve them.
What is the foundational principle of programmatic enforcement vs prompts,Intercepts outgoing tool calls before execution - used to enforce compliance rules like blocking refunds above a threshold and redirecting to escalation.,--resume continues a specific named prior session. fork_session creates independent branches from a shared analysis baseline to explore divergent approaches without contaminating each other.,50% cost savings - processing window up to 24 hours - no guaranteed latency SLA - no multi-turn tool calling support. Use custom_id fields to correlate request/response pairs.,Prompts are probabilistic suggestions. Hooks and programmatic gates provide deterministic guarantees. When errors have financial or compliance consequences use code enforcement not prompt instructions.,d,Prompts are probabilistic suggestions. Hooks and programmatic gates provide deterministic guarantees. When errors have financial or compliance consequences use code enforcement not prompt instructions.
